,,Total Mean Annual Household Income estimate,,,,,,,,,,,,,Total Median Annual Household Income estimate,,,,,,,,,,,,,
,,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,,
E09000022,Lambeth,"£33,280","£33,700","£35,200","£37,380","£38,060","£40,450","£41,170","£44,160","£44,200","£45,890","£47,570","£48,610",,"£26,820","£27,230","£28,040","£29,720","£29,800","£31,560","£32,510","£33,550","£35,030","£35,990","£37,760","£38,490",,
E09000023,Lewisham,"£28,930","£29,350","£30,720","£32,690","£33,360","£35,540","£36,270","£38,990","£39,130","£40,730","£42,320","£43,360",,"£24,410","£24,820","£25,610","£27,210","£27,340","£29,020","£29,970","£31,000","£32,440","£33,420","£35,140","£35,900",,
E09000024,Merton,"£39,270","£39,770","£41,530","£44,090","£44,870","£47,670","£48,500","£51,990","£52,020","£54,000","£55,950","£57,160",,"£29,330","£29,770","£30,650","£32,480","£32,560","£34,460","£35,490","£36,610","£38,220","£39,260","£41,180","£41,960",,
E09000025,Newham,"£21,270","£21,700","£22,860","£24,490","£25,160","£26,980","£27,720","£30,000","£30,310","£31,760","£33,220","£34,260",,"£17,950","£18,390","£19,120","£20,470","£20,740","£22,190","£23,100","£24,090","£25,410","£26,380","£27,960","£28,780",,
E09000026,Redbridge,"£32,250","£32,480","£33,760","£35,690","£36,190","£38,320","£38,880","£41,580","£41,520","£43,010","£44,490","£45,380",,"£26,600","£26,870","£27,540","£29,070","£29,040","£30,640","£31,470","£32,390","£33,740","£34,590","£36,230","£36,860",,
E09000027,Richmond upon Thames,"£50,450","£51,380","£53,940","£57,530","£58,800","£62,720","£64,040","£68,890","£69,140","£71,990","£74,800","£76,610",,"£36,080","£36,800","£38,050","£40,470","£40,710","£43,240","£44,660","£46,200","£48,360","£49,800","£52,360","£53,470",,
E09000028,Southwark,"£31,770","£32,270","£33,810","£36,020","£36,790","£39,230","£40,050","£43,090","£43,260","£45,060","£46,840","£48,000",,"£25,030","£25,490","£26,320","£27,980","£28,150","£29,900","£30,890","£31,970","£33,480","£34,500","£36,300","£37,100",,
E09000029,Sutton,"£33,220","£33,660","£35,180","£37,380","£38,090","£40,530","£41,300","£44,360","£44,470","£46,250","£48,020","£49,170",,"£27,510","£27,930","£28,780","£30,520","£30,630","£32,470","£33,480","£34,600","£36,180","£37,230","£39,130","£39,940",,
E09000030,Tower Hamlets,"£29,690","£30,190","£31,670","£33,790","£34,580","£36,930","£37,790","£40,730","£40,970","£42,760","£44,530","£45,720",,"£23,040","£23,490","£24,300","£25,890","£26,090","£27,770","£28,760","£29,840","£31,320","£32,340","£34,100","£34,930",,
E09000031,Waltham Forest,"£26,940","£27,250","£28,440","£30,200","£30,740","£32,680","£33,280","£35,710","£35,770","£37,180","£38,570","£39,460",,"£23,000","£23,320","£23,990","£25,420","£25,490","£27,000","£27,820","£28,730","£30,020","£30,870","£32,420","£33,080",,
